Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Estimated_Project_Value,Most_Recent_Inspection,Type_of_Structure,Work_Description,Active_Parcel,Date_Inspection_Completed,Occupancy_Type,Residential_Units_Demoed,District,Inspection_Outcome
"OCCUPY-2024-10708","2024-08-12 12:00:00","2024-08-30 12:00:00",,"2026-08-30 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Issued",1931,"2216","HAMMONDS PLAINS RD","HAMMONDS PLAINS","00645598",,"Building - OCC - Commercial Final","Commercial","Commercial Occupancy for Bombay Spices","Y","2024-11-13 12:00:00","Storage / Warehouse",,"District 14","Partially Passed"
"OCCUPY-2024-10832","2024-08-19 12:00:00","2024-08-27 12:00:00","2024-08-28 12:00:00","2026-08-27 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",66192,"50","MOUNT HOPE AVE","DARTMOUTH","41379595",,"Building - OCC - Commercial Final","Commercial","Commercial Occupancy for Kombucha Business
Note: No change in use of occupancy","Y","2024-08-28 12:00:00","Manufacturing / Processing Use",,"District 03","Passed"
"OCCUPY-2024-11649","2024-08-23 12:00:00","2024-09-18 12:00:00","2024-10-02 12:00:00","2026-09-18 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",1931,"2216","HAMMONDS PLAINS RD","HAMMONDS PLAINS","00645598",,"Building - OCC - Commercial Final","Commercial","New leasehold: Golden C Financial","Y","2024-10-02 12:00:00","Service Use",,"District 14","Passed"
"OCCUPY-2024-12443","2024-09-04 12:00:00",,"2024-09-11 12:00:00",,"Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Cancelled",123384,"375","MIDDLE VILLAGE RD","WEST DOVER","41073511",,,"Dwelling - Seasonal","Request a permit for seasonal rental of 2 rooms","Y",,"Residential Use",,"District 13",
"OCCUPY-2024-12845","2024-09-10 12:00:00","2024-09-23 12:00:00","2024-11-12 12:00:00","2026-09-23 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",99495,"11470","HIGHWAY 7","LAKE CHARLOTTE","41113960",,"Building - OCC - Commercial Final","Commercial","Webbers
No interior renovations
Group A2/E
Occupant load max:50","Y","2024-11-12 12:00:00","Restaurant",,"District 02","Passed"
"OCCUPY-2024-13685","2024-10-08 12:00:00","2024-10-10 12:00:00","2025-01-07 12:00:00","2026-10-10 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",64996,"50","NEPTUNE CRES","DARTMOUTH","41246166",,"Building - OCC - Commercial Final","Commercial","Scope of Work; Occupy Newly Constructed Tenant Space (Group D, Group F2) 'Arctic Insulation Inc.'

Maximum Occupant Load 10 Persons","Y","2025-01-07 12:00:00","Storage / Warehouse",,"District 03","Passed"
"OCCUPY-2024-14880","2024-10-01 12:00:00",,"2024-10-07 12:00:00",,"Application to Occupy","Residential","Occupancy Only - No Building Alterations or Renovations","Withdrawn",172817,"1375","EAST PETPESWICK RD","EAST PETPESWICK","41492372",,,"Dwelling - Single Detached","Needing an occupancy for a new construction.","Y",,"Residential Use",,"District 02",
"OCCUPY-2024-15545","2024-10-15 12:00:00","2024-10-24 12:00:00","2024-11-04 12:00:00","2026-10-24 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",36315,"414","WINDSOR JUNCTION RD","WINDSOR JUNCTION","40092041",,"Building - OCC - Commercial Final","Commercial","Better Golf Occupancy","Y","2024-11-04 12:00:00","Recreation Use",,"District 01","Passed"
"OCCUPY-2024-16219","2024-10-27 12:00:00",,"2024-10-29 12:00:00",,"Application to Occupy","Residential","Occupancy Only - No Building Alterations or Renovations","Cancelled",98662,"10","MAHEUX LANE","WAVERLEY","00659284",,,"Accessory Structure","Inspections are to be performed for occupancy. Detached garage upper level.","Y",,"Backyard Suite",,"District 01",
"OCCUPY-2024-16547","2024-11-01 12:00:00","2024-11-15 12:00:00",,"2026-11-15 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Issued",1820,"1658","BEDFORD HWY","BEDFORD","00432138",,"Building - OCC - Commercial Final","Commercial","Xpresso Cafe","Y","2024-11-18 12:00:00","Restaurant",,"District 16","Failed"
"OCCUPY-2024-17327","2024-11-21 12:00:00","2024-12-02 12:00:00","2024-12-03 12:00:00","2026-12-02 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",74723,"1589","DRESDEN ROW","HALIFAX","00126003",,"Building - OCC - Commercial Final","Commercial","Restaurant Occupancy","Y","2024-12-03 12:00:00","Restaurant",,"District 07","Passed"
"OCCUPY-2024-17519","2024-11-30 12:00:00",,"2024-12-03 12:00:00",,"Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Withdrawn",83839,"221","HERRING COVE RD","HALIFAX","00311837",,,"Commercial","Business Occupation","Y",,"Communication Use",,"District 11",
"OCCUPY-2024-18171","2024-12-05 12:00:00",,,,"Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Application Incomplete",67738,"6023","NORTH ST","HALIFAX","00169136",,,"Mixed Use - Residential & Other Use(s)","Change of ownership of the existing laundromat.","Y",,"Service Use",,"District 08",
"OCCUPY-2024-18950","2024-12-26 12:00:00","2025-01-02 12:00:00","2025-01-16 12:00:00","2027-01-02 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Completed",68608,"2959","OXFORD ST","HALIFAX","00119412",,"Building - OCC - Commercial Final","Commercial","Scope of work is limited to:
Occupancy of an existing commercial suite for a new business known as 'Onyx and Rose Beauty Studio'


Note: 
1.) This permit does not authorize any new construction to the building, a separate construction permit is required for renovations to a building.","Y","2025-01-16 12:00:00","Retail Use",,"District 09","Passed"
"OCCUPY-2025-00509","2025-01-14 12:00:00","2025-01-20 12:00:00",,"2027-01-20 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Issued",172978,"1597","BARRINGTON ST","HALIFAX","00076224",,"Building - OCC - Commercial Final","Commercial","Scope of Work; Occupancy for new restaurant (Group A2) in an existing restaurant space - 'Le café du Port'

Maximum Occupant Load reviewed as 110 Persons.","Y","2025-01-23 12:00:00","Restaurant",,"District 07","Partially Passed"
"OCCUPY-2025-00553","2025-01-17 12:00:00","2025-02-05 12:00:00",,"2027-02-05 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Issued",175915,"5696","ROBERTS ST","HALIFAX","00151803",,,"Commercial","Commercial Occupancy Only for 'Egghead Books Ltd'","Y",,"Retail Use",,"District 08",
"OCCUPY-2025-01183","2025-02-07 12:00:00",,,,"Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","In Review",97554,"8","PARK RD","MUSQUODOBOIT HARBOUR","00592717",,,"Commercial","We are applying to open a seasonal warming center. There would be 20 occupants from 8pm to 8am, 7 days per week.","Y",,"Shared Housing",,"District 02",
"OCCUPY-2025-01432","2025-02-03 12:00:00",,,,"Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Application Incomplete",73381,"6024","QUINPOOL RD","HALIFAX","00163113",,,"Commercial","I am submitting this application to obtain an occupancy permit for a new salon and spa at 6024 Quinpool Road, Halifax, NS. I have recently leased this commercial space and intend to operate a full-service salon and spa under the name Blume Salon and by Lala Ji.

The establishment will offer a range of professional hair, grooming, and wellness services, including but not limited to:
	•	Haircuts, styling, and treatments
	•      Women  grooming services
	•	Facial and skincare treatments
	•	Spa services such as massages and relaxation therapies

The space will be used for client services, retail product displays, and staff operations in compliance with local business and safety regulations. I will ensure that all necessary health, fire, and building code requirements are met before commencing operations.","Y",,"Service Use",,"District 09",
"OCCUPY-2025-01576","2025-02-05 12:00:00",,,,"Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","In Review",131511,"1801","HOLLIS ST","HALIFAX","40634602",,,"Commercial","Occupancy for 'East Coast School of Language' - LIMITED to ADMINISTRATIVE OFFICES only.

This permit DOES NOT allow a change of Occupancy Classification (From Group D to Group A2), and DOES NOT allow for any construction required for Group A2 Occupancy; a separate renovation permit will be required for any of the above.

Maximum Occupant Load of 26 Persons.","Y",,"Office",,"District 07",
"OCCUPY-2025-01812","2025-02-11 12:00:00","2025-02-13 12:00:00",,"2027-02-13 12:00:00","Application to Occupy","Non Residential","Occupancy Only - No Building Alterations or Renovations","Issued",48371,"202","WAVERLEY RD","DARTMOUTH","40789174",,,"Commercial","Occupancy for Repair Garage - Bench Automotive","Y",,"Motor Vehicle Related Use",,"District 06",
"POOL-2021-10427",,,"2021-06-09 12:00:00",,"Swimming Pool Permit","Installation","Inground","Cancelled",166898,"488","MCCABE LAKE DR","MIDDLE SACKVILLE","41432998",99000.0000,,"Dwelling - Single Detached","Levy pools will be installing an inground pool with a concrete deck around pool with a fence","Y",,,,"District 14",
"POOL-2021-10613","2021-06-03 12:00:00","2021-07-06 12:00:00","2022-03-21 12:00:00","2022-09-04 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",125169,"37","FIDDLE PKY","HATCHET LAKE","41075243",5500.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","- install a 7.3 m above ground round pool
-install a 1.5 m high chain link fence","Y","2022-01-04 12:00:00",,,"District 13","Passed"
"POOL-2021-10687","2021-06-05 12:00:00","2021-07-13 12:00:00","2022-08-11 12:00:00","2023-02-10 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",51134,"21","KINGSTON CRES","DARTMOUTH","00088203",5000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","MacBurnie Pools to install 24' anchor above ground pool","Y","2022-08-11 12:00:00",,,"District 05","Passed"
"POOL-2021-10820","2021-06-10 12:00:00",,,,"Swimming Pool Permit","Installation","Above Ground","Application Incomplete",33430,"164","PENNINGTON DR","BEAVER BANK","40159931",1000.0000,,"Dwelling - Single Detached","We have purchased a 15' x 48'' Summer Waves easy set up pool. This will not be left up all year and will only be set up for Summer months.  A fence a 5ft safety fence will be installed around the pool which is going to sit on a concrete slab","Y",,,,"District 15",
"POOL-2021-11050","2021-06-11 12:00:00","2021-07-14 12:00:00","2021-07-28 12:00:00","2022-01-14 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",80584,"89","MARGARET RD","HALIFAX","00251207",9000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Install above ground pool and fence.


Install a 12'x20' above ground rectangle swimming pool 52' high and a 5' chain link fence.","Y","2021-07-28 12:00:00",,,"District 11","Passed"
"POOL-2021-11144","2021-06-11 12:00:00","2022-04-12 12:00:00",,"2023-12-26 12:00:00","Swimming Pool Permit","Installation","Inground","Expired",129525,"19","HOUDA CRT","HALIFAX","41014317",75000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Inground pool for single family residential  LOTGRADE-2021-11159","Y","2023-02-21 12:00:00",,,"District 10","Failed"
"POOL-2021-11274",,,"2021-06-22 12:00:00",,"Swimming Pool Permit","Installation","Above Ground","Cancelled",39555,"47","NORDIC CRES","LOWER SACKVILLE","00450098",12551.1000,,"Not Associated to a Building","Holland home leisure  will install a 27 foot round Monaco pool. 54 inch high sides, 9 inch resin coated ledge, 6 inch column uprights  with heavy gauge galvanized steel wall.","Y",,,,"District 15",
"POOL-2021-11447","2021-06-17 12:00:00","2021-07-14 12:00:00","2023-07-20 12:00:00","2023-07-25 12:00:00","Swimming Pool Permit","Installation","Inground","Completed",166893,"412","MCCABE LAKE DR","MIDDLE SACKVILLE","41432949",50000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","to install an inground swimming pool with wrought iron fencing 5' high","Y","2023-07-20 12:00:00",,,"District 14","Passed"
"POOL-2021-11658","2021-06-22 12:00:00",,,,"Swimming Pool Permit","Installation","Above Ground","In Review",39555,"47","NORDIC CRES","LOWER SACKVILLE","00450098",12551.1000,,"Dwelling - Single Detached","Holland Home leisure from New Minas will be installing a 27 foot round 54 inches high pool in our backyard","Y",,,,"District 15",
"POOL-2021-11935","2021-06-24 12:00:00","2021-07-19 12:00:00","2022-04-08 12:00:00","2022-09-29 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",136090,"494","GATEHOUSE RUN","HAMMONDS PLAINS","41191339",10867.5000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Installing an above ground pool in the back yard. 30 ft round pool, 54' wall","Y","2022-04-08 12:00:00",,,"District 14","Passed"
"POOL-2021-12487","2021-07-06 12:00:00","2021-08-11 12:00:00","2022-01-27 12:00:00","2022-02-11 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",92344,"5","LADYSLIPPER CRES","ENFIELD","41205931",4650.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Install Above Ground Pool","Y","2022-01-27 12:00:00",,,"District 01","Passed"
"POOL-2021-12765","2021-08-16 12:00:00","2021-11-09 12:00:00","2021-11-26 12:00:00","2022-05-09 12:00:00","Swimming Pool Permit","Installation","Inground","Completed",130545,"11","OAKBANK LANE","FALL RIVER","41112855",32000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Inground pool installed and fencing","Y","2021-11-26 12:00:00",,,"District 01","Passed"
"POOL-2021-13035","2021-07-13 12:00:00",,,,"Swimming Pool Permit","Installation","Inground","Application Incomplete",139805,"30","BUNCHBERRY LANE","WAVERLEY","41195769",79000.0000,,"Dwelling - Single Detached","My mother Sharyn and I are getting an unground pool installed in our backyard. 
I’ve applied for this over 6 months ago but for some reason it didn’t go through to you guys. Our project is being taken care of by Bernard Pools, we have a fence surrounding the property.","Y",,,,"District 01",
"POOL-2021-13254","2021-07-21 12:00:00",,,,"Swimming Pool Permit","Installation","Above Ground","Application Incomplete",50703,"74","MOUNT EDWARD RD","DARTMOUTH","00192377",12750.0000,,"Dwelling - Single Detached","Twenty-one foot above ground pool to be installed in my backyard","Y",,,,"District 06",
"POOL-2021-13477","2021-07-22 12:00:00","2022-05-17 12:00:00",,"2023-11-10 12:00:00","Swimming Pool Permit","Installation","Inground","Expired",144778,"292","ABERDEEN DR","FALL RIVER","41270331",75000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Seasonal","We are building a fenced in, lined 16ft by 32ft inground pool in our backyard that will require a 8ft deep hole to be dug.","Y","2023-05-10 12:00:00",,,"District 01","Failed"
"POOL-2021-13590","2021-07-25 12:00:00","2021-11-15 12:00:00","2022-10-17 12:00:00","2022-11-17 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",137436,"31","GARDENERS WALK","BEAVER BANK","41209610",9400.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Installing a 21 ft above ground with a 5 ft chain link fence surrounding the property.  Theres a 3ft gate fence with a self closing latch mechanism. An area approximately 12x10,12-24 inches deep was dug out on the high side of the yard, the remaining foot print of the back yard didnt change and drains away from the dwelling and towards a natural water easement at the back of the property.","Y","2022-10-17 12:00:00",,,"District 15","Passed"
"POOL-2021-14007","2021-08-16 12:00:00","2021-09-10 12:00:00","2022-05-06 12:00:00","2022-09-16 12:00:00","Swimming Pool Permit","Installation","Inground","Completed",144277,"64","PEBBLECREEK CRES","DARTMOUTH","41277104",35000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Straight forward installation of 30'x15' inground pool.
Lot grading permit applied for","Y","2022-05-06 12:00:00",,,"District 03","Passed"
"POOL-2021-14071","2021-08-05 12:00:00","2021-09-24 12:00:00","2023-09-20 12:00:00","2023-11-10 12:00:00","Swimming Pool Permit","Installation","Inground","Completed",168726,"90","CROWNRIDGE DR","BEDFORD","41440538",70000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Installing a 16' X 36' inground pool.","Y","2023-09-20 12:00:00",,,"District 16","Passed"
"POOL-2021-14322","2021-08-16 12:00:00",,,,"Swimming Pool Permit","Installation","Above Ground","Application Incomplete",114717,"78","CLERMONT CRES","COLE HARBOUR","40145823",180.0000,,"Dwelling - Single Detached","setting up an above ground pool from giant tiger 12 foot round 3 foot high.","Y",,,,"District 04",
"POOL-2021-14597","2021-08-17 12:00:00","2021-09-16 12:00:00","2023-07-12 12:00:00","2024-01-06 12:00:00","Swimming Pool Permit","Installation","Inground","Completed",34164,"35","SIDHU DR","BEAVER BANK","40477341",38000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","a 30x14ft inground pool will be installed on property as well as a chain link fence (with two latchable gates) surrounding the pool.","Y","2023-07-12 12:00:00",,,"District 15","Passed"
"POOL-2021-15146","2021-08-27 12:00:00","2021-09-22 12:00:00","2022-06-10 12:00:00","2022-09-23 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",137707,"60","PIGGOTT AVE","FALL RIVER","41089319",13500.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","installation of a 27 foot round above ground pool  15 feet from dwelling and 62 feet from closest neighboring boundary.","Y","2022-06-10 12:00:00",,,"District 01","Passed"
"POOL-2021-15523","2022-04-11 12:00:00","2022-04-26 12:00:00","2022-09-06 12:00:00","2022-10-26 12:00:00","Swimming Pool Permit","Installation","Inground","Completed",124406,"223","SOUTHAMPTON DR","COLE HARBOUR","40797409",70000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Installation of an inground backyard pool.","Y","2022-09-06 12:00:00",,,"District 04","Passed"
"POOL-2021-16085","2021-09-22 12:00:00","2021-11-25 12:00:00",,"2023-10-25 12:00:00","Swimming Pool Permit","Installation","Above Ground","Expired",173686,"23","SHORE DR","BEDFORD","41462458",100000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","This is an inground pool set in concrete above ground. Please call for clarification if nessary.
Thanks
Todd 902-830-7165","Y","2023-04-26 12:00:00",,,"District 16","Failed"
"POOL-2021-16907","2022-05-15 12:00:00","2022-06-10 12:00:00","2022-12-09 12:00:00","2022-12-10 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",130137,"46","WHYNACHTS POINT RD","TANTALLON","41107889",16000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Install a 15' x 30' oval, above ground, buttress free pool. Also to install a deck wrapping around 2/3 of pool and chain link fence around the other 1/3 of the pool.","Y","2022-12-09 12:00:00",,,"District 13","Passed"
"POOL-2021-18325","2021-10-31 12:00:00","2021-11-29 12:00:00","2022-05-30 12:00:00","2022-11-30 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",1952,"1484","LUCASVILLE RD","HAMMONDS PLAINS","40455297",6500.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Pre-existing pool replaced with new deck and railing.","Y","2022-05-30 12:00:00",,,"District 14","Passed"
"POOL-2021-20216","2021-12-21 12:00:00","2022-02-09 12:00:00","2022-08-15 12:00:00","2023-01-12 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",2936,"40","MEADOWBROOK DR","BEDFORD","00435503",1.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","LENIHAN - 24ft by 12ft above ground pool with freestanding deck around.","Y","2022-08-15 12:00:00",,,"District 16","Passed"
"POOL-2022-00545","2022-01-23 12:00:00","2022-02-09 12:00:00","2022-08-02 12:00:00","2022-08-09 12:00:00","Swimming Pool Permit","Installation","Inground","Completed",174048,"21","BELLE ST","BEDFORD","40749020",50000.0000,"Building - SWI - Swimming Pool Final","Not Associated to a Building","In ground pool","Y","2022-08-02 12:00:00",,,"District 16","Passed"
"POOL-2022-01264","2022-01-31 12:00:00","2022-02-15 12:00:00","2023-07-17 12:00:00","2023-08-01 12:00:00","Swimming Pool Permit","Installation","Inground","Completed",128473,"222","ROYAL DORNOCH DR","HAMMONDS PLAINS","41090523",2500.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","install a 21' pool","Y","2023-07-17 12:00:00",,,"District 14","Passed"
"POOL-2022-01556","2022-02-11 12:00:00","2022-02-28 12:00:00","2022-08-26 12:00:00","2022-08-31 12:00:00","Swimming Pool Permit","Installation","Inground","Completed",146030,"67","WIDEVIEW LANE","BOUTILIERS POINT","41295866",44823.5500,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Excavation of pool area and install of 12 by 24 foot inground pool with 4 foot concrete surround as well as completion of 5 foot fence.  Completion of deck stairs (as per existing permit #GP-2021-05600 )","Y","2022-08-26 12:00:00",,,"District 13","Passed"
"POOL-2022-02214","2022-02-22 12:00:00","2022-03-03 12:00:00",,"2023-12-07 12:00:00","Swimming Pool Permit","Installation","Inground","Expired",158868,"249","GOLDENEYE DR","TIMBERLEA","41304395",54625.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","14 ft by 28 ft pool to be installed.","Y","2023-06-07 12:00:00",,,"District 12","Partially Passed"
"POOL-2022-02519","2022-03-24 12:00:00","2022-04-26 12:00:00","2023-06-23 12:00:00","2023-09-01 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",40879,"15","QUEENS CRT","LOWER SACKVILLE","00445601",6000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","24 foot circle pool to be installed behind house with an updated deck. Deck permit will also be submitted.","Y","2023-06-23 12:00:00",,,"District 15","Passed"
"POOL-2022-03207","2022-03-10 12:00:00","2022-03-25 12:00:00","2022-12-08 12:00:00","2023-03-26 12:00:00","Swimming Pool Permit","Installation","Inground","Completed",160718,"163","HOLLYHOCK WAY","BEDFORD","41348111",65000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Installing 14x32'  inground swimming pool.  See attached pool layout and lot grading alteration plan done by Design Point Engineering.  Connected grading permit is 
2022-03198","Y","2022-12-08 12:00:00",,,"District 16","Passed"
"POOL-2022-03560","2022-04-19 12:00:00","2022-05-02 12:00:00",,"2023-12-22 12:00:00","Swimming Pool Permit","Installation","Above Ground","Expired",158555,"100","KERNWOOD DR","MIDDLE SACKVILLE","41295189",17220.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Install above ground pool","Y","2023-06-22 12:00:00",,,"District 14","Failed"
"POOL-2022-04328","2022-03-31 12:00:00","2022-04-27 12:00:00","2023-06-30 12:00:00","2023-10-24 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",168396,"1465","MCCABE LAKE DR","MIDDLE SACKVILLE","41373580",37000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","install pool above ground","Y","2023-06-30 12:00:00",,,"District 14","Passed"
"POOL-2022-04484","2022-04-03 12:00:00",,,,"Swimming Pool Permit","Installation","Above Ground","Application Incomplete",106168,"1","JAYBE DR","DARTMOUTH","00257535",8000.0000,,"Dwelling - Single Detached","18 inch obove ground- 3.5 meters from line property  deck 
80 ft around material 4x4 post with concrete is a square ?? fence 8 ft tall 3.5 meters from our home ?? deck, total 
80 ft","Y",,,,"District 06",
"POOL-2022-04963","2022-04-12 12:00:00","2022-04-26 12:00:00","2022-09-09 12:00:00","2022-10-26 12:00:00","Swimming Pool Permit","Installation","Inground","Completed",142783,"456","HEMLOCK DR","UPPER TANTALLON","41225954",115610.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Installation of 20 x 44 in ground swimming pool.","Y","2022-09-09 12:00:00",,,"District 13","Passed"
"POOL-2022-05227","2022-05-15 12:00:00","2022-07-07 12:00:00",,"2023-07-10 12:00:00","Swimming Pool Permit","Installation","Above Ground","Expired",8205,"26","FOX RG","UPPER TANTALLON","40660391",36354.5700,"Building - SWI - Swimming Pool Final","Not Associated to a Building","Installation of 24' 54' above ground round pool.","Y","2023-01-11 12:00:00",,,"District 13","Partially Passed"
"POOL-2022-05554","2022-04-23 12:00:00","2022-05-06 12:00:00",,"2023-12-26 12:00:00","Swimming Pool Permit","Installation","Above Ground","Expired",94939,"26","CORA LANE","FLETCHERS LAKE","40425183",45000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Installing a semi-inground pool. pool has a flat bottom and is self supporting but will be backfilled to grade after completion.","Y","2023-06-27 12:00:00",,,"District 01","Failed"
"POOL-2022-05939","2022-04-29 12:00:00","2022-06-02 12:00:00","2022-08-09 12:00:00","2022-12-02 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",167994,"163","SAVOY AVE","LUCASVILLE","41169392",14000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Installing an above ground pool in the back yard
Deck separate permit
Estimated start date of construction for pool/ deck is between May and June.","Y","2022-08-09 12:00:00",,,"District 14","Passed"
"POOL-2022-06241","2022-05-09 12:00:00","2022-05-25 12:00:00","2022-09-20 12:00:00","2022-11-25 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",147576,"356","CELEBRATION DR","FALL RIVER","41317546",28664.6100,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Install above ground pool in backyard.","Y","2022-09-20 12:00:00",,,"District 01","Passed"
"POOL-2022-06449","2022-05-09 12:00:00","2022-06-06 12:00:00","2023-05-10 12:00:00","2023-06-01 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",53728,"95","BELLE VISTA DR","DARTMOUTH","00214361",4000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Install 18ft above ground pool to current deck. Additional gate + Extension to deck to allow for security, as well as attached fencing around the remainder of the pool. 
Current back yard, also has a 4.3ft chainlink fence around the perimeter.","Y","2023-05-10 12:00:00",,,"District 06","Passed"
"POOL-2022-06756","2022-05-17 12:00:00","2022-05-30 12:00:00","2022-11-15 12:00:00","2022-11-30 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",129075,"224","WISTERIA LANE","UPPER TANTALLON","41090994",30000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Semi-Detached","an above ground pool, having a fence installed and adding onto an existing deck","Y","2022-11-15 12:00:00",,,"District 13","Passed"
"POOL-2022-06910","2022-05-17 12:00:00","2022-05-26 12:00:00","2023-08-28 12:00:00","2023-12-26 12:00:00","Swimming Pool Permit","Installation","Inground","Completed",144290,"9","PEBBLECREEK CRES","DARTMOUTH","41277237",50000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Fiberglass inground swimming pool installation","Y","2023-08-28 12:00:00",,,"District 03","Passed"
"POOL-2022-07179","2022-05-23 12:00:00",,"2022-06-05 12:00:00",,"Swimming Pool Permit","Installation","Above Ground","Withdrawn",58950,"7","JOSEPHINE CRT","DARTMOUTH","00613497",46000.0000,,"Dwelling - Single Detached","Installing a 30' x 15' above ground pool","Y",,,,"District 03",
"POOL-2022-07383","2022-05-25 12:00:00",,,,"Swimming Pool Permit","Installation","Above Ground","Applicant Revisions",64724,"15","ROSEHILL DR","DARTMOUTH","40613697",9500.0000,,"Not Associated to a Building","Construct a 12x28x52' oval above ground pool  on a 6 inch deep crusher dust pad","Y",,,,"District 03",
"POOL-2022-07539","2022-06-04 12:00:00","2022-06-15 12:00:00","2023-07-17 12:00:00","2023-06-19 12:00:00","Swimming Pool Permit","Installation","Above Ground","Expired (Closed)",116255,"12","ASPEN WAY CRES","COLE HARBOUR","00410514",300.0000,,"Dwelling - Single Detached","Install above ground pool with existing enclosure.","Y",,,,"District 04",
"POOL-2022-07808","2022-06-02 12:00:00","2022-06-09 12:00:00","2022-12-14 12:00:00","2022-12-16 12:00:00","Swimming Pool Permit","Installation","Above Ground","Completed",170718,"26","SPLINTER CRT","BEAVER BANK","41419631",13000.0000,"Building - SWI - Swimming Pool Final","Dwelling - Single Detached","Construct above ground pool.","Y","2022-12-14 12:00:00",,,"District 15","Passed"
