"Permit_Number","Date_of_Submission","Date_of_Permit_Issuance","Completed_Date","Expiration_Date","Permit_Name","Work_Type","Primary_Work_Scope","Permit_Status","HRM_ID","Civic_Number","Street_Name","Community","PID","Most_Recent_Inspection","Type_of_Structure","Work_Description","Active_Parcel","Date_Inspection_Completed",District,Inspection_Outcome
"DEV-ROW-2024-03359","2024-05-28 12:00:00",,,,"Development - Right of Way Permit","Driveway Access","Driveway Access","Applicant Revisions",,,,,"00063859",,"Dwelling - Multiple Units","Construction of a multi unit residential building (60 Units).","Y",,"District 05",
"DEV-ROW-2024-03580","2024-04-02 12:00:00","2024-04-25 12:00:00",,"2025-04-23 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Issued",300000675,,"AGRICOLA ST","HALIFAX",,,"Dwelling - Multiple Units","Closure of Sidewalks & Temporary Lane Reduction for Demolition",,,"Unidentified",
"DEV-ROW-2024-03599","2024-03-28 12:00:00","2024-04-04 12:00:00",,"2025-04-04 12:00:00","Development - Right of Way Permit","Utility Work","Pole & Anchor","Issued",300002478,,"MONT ST","HALIFAX",,,"Not Associated to a Building","INSTALL 45FT FUTURE PRIMARY DIP POLE 
TRANSFER PRIMARY, NEUTRAL, SECONDARY AND STRAND",,,"Unidentified",
"DEV-ROW-2022-04609","2023-03-08 12:00:00","2023-05-19 12:00:00",,"2026-04-03 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Issued",,,,,"00181503","Engineering - ROWD - Pre-Construction","Dwelling - Multiple Units","New construction of a multi unit residential building. 148 units over two buildings with a shared underground parking/podium.","Y","2023-06-09 12:00:00","District 09","Passed"
"DEV-ROW-2022-04619","2022-04-25 12:00:00","2022-08-26 12:00:00",,"2025-06-30 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Issued",200001632,,"WAVERLEY RD","DARTMOUTH",,,"Dwelling - Multiple Units","Encroachment into the public right of way. Pedestrian and vehicular access to be maintained.",,,"Unidentified",
"DEV-ROW-2022-04682","2022-04-19 12:00:00","2022-05-09 12:00:00","2024-09-24 12:00:00","2024-09-30 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Completed",100002308,,"GOLF LINKS RD","BEDFORD",,"Traffic Management - ROW - Warranty","Dwelling - Single Detached","The permit will address lateral services to the newly planned newly built structure.  This permit is to refresh the file for permit number 170728 in the Hansen System.",,"2024-09-24 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-04714","2022-04-06 12:00:00","2022-04-25 12:00:00",,"2025-07-24 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Issued",174428,"205","COWIE HILL RD","HALIFAX","41513763","Engineering - ROWD - Reinstatement","Dwelling - Multiple Units","Two Drive ways are required for 203 & 205 Cowie Hill Rd. , One for each Unit. width is 8 Feet as requested.","Y","2023-08-09 12:00:00","District 11","Passed"
"DEV-ROW-2022-04772","2022-04-07 12:00:00","2022-04-12 12:00:00","2022-06-14 12:00:00","2022-05-06 12:00:00","Development - Right of Way Permit","Street Closure","Street Closure","Expired (Closed)",300001202,,"SEAFORTH ST","HALIFAX",,,"Dwelling - Multiple Units","Close Seaforth as per our approved CMP April 25-29th inclusive between 7am-7pm",,,"Unidentified",
"DEV-ROW-2022-04772","2022-04-07 12:00:00","2022-04-12 12:00:00","2022-06-14 12:00:00","2022-05-06 12:00:00","Development - Right of Way Permit","Street Closure","Street Closure","Expired (Closed)",300001385,,"SEAFORTH ST","HALIFAX",,,"Dwelling - Multiple Units","Close Seaforth as per our approved CMP April 25-29th inclusive between 7am-7pm",,,"Unidentified",
"DEV-ROW-2022-04825","2022-04-08 12:00:00","2022-04-26 12:00:00","2023-07-04 12:00:00","2022-08-29 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Expired (Closed)",300001612,,"ROBIE ST","HALIFAX",,,"Dwelling - Single Detached","Sidewalk encroachment is requested to facilitate demolition of houses",,,"Unidentified",
"DEV-ROW-2022-04826","2022-04-08 12:00:00","2022-04-25 12:00:00","2023-07-13 12:00:00","2022-06-30 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Expired (Closed)",300002024,,"COBURG RD","HALIFAX",,,"Dwelling - Single Detached","sidewalk encroachment to facilitate demo of house",,,"Unidentified",
"DEV-ROW-2022-04931","2022-04-11 12:00:00","2022-05-16 12:00:00","2024-07-04 12:00:00","2024-10-01 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Completed",300001062,,"FREDERICK AVE","HALIFAX",,"Traffic Management - ROW - Warranty","Dwelling - Multiple Units","connecting new water and sewer to the main",,"2024-07-04 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-05005","2022-04-12 12:00:00",,,,"Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Applicant Revisions",300000708,,"DUTCH VILLAGE RD","HALIFAX",,,"Mixed Use - Residential & Other Use(s)","Connect municipal water & sewer to new apartment building.",,,"Unidentified",
"DEV-ROW-2022-05038","2022-04-12 12:00:00",,"2022-05-09 12:00:00",,"Development - Right of Way Permit","Temporary Work","Encroachment Only","Withdrawn",,,,,,,"Dwelling - Multiple Units","We require street access for a Genie use in front of 2220 Maitland Street, Halifax. The purpose is to sheath and install cladding on this project. We anticipate usage to commence asap and continue for 4-6 weeks.",,,"Unidentified",
"DEV-ROW-2022-05109","2022-04-14 12:00:00","2022-04-22 12:00:00","2023-05-01 12:00:00","2023-04-20 12:00:00","Development - Right of Way Permit","Utility Work","Pole & Anchor","Expired (Closed)",,,,,,,"Commercial","WO 3802616 - REMOVE EXISTING DOUBLE CIRCUIT 55-CL2-CCA POLE, INSTALL NEW POLE MID SPAN.",,,"Unidentified",
"DEV-ROW-2022-05154","2022-04-19 12:00:00","2022-05-10 12:00:00","2022-07-12 12:00:00","2023-05-10 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Cancelled",200001637,,"WAVERLEY RD","DARTMOUTH",,,"Not Associated to a Building","we would like permission to service lot 3 (PID 41505405) with water, storm water, and waste water from the mains. we only want to service the lots for future sale.",,,"Unidentified",
"DEV-ROW-2022-05167","2022-05-03 12:00:00",,"2022-05-09 12:00:00",,"Development - Right of Way Permit","Driveway Access","Driveway Access","Withdrawn",70425,"3212","MAYFIELD AVE","HALIFAX","00199786",,"Not Associated to a Building","The PID is 00199786 (3208-3210-3212 Mayfield Avenue.  It is a 3 unit dwelling with a single driveway. I want to add a 2nd driveway access from my property to Mayfield Avenue","Y",,"District 09",
"DEV-ROW-2022-05211","2022-06-20 12:00:00","2022-06-24 12:00:00",,"2025-06-02 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Issued",200001818,,"COW BAY RD","EASTERN PASSAGE",,"Traffic Management - ROW - Reinstatement","Dwelling - Single Detached","utilities from main to property for single family home",,"2023-06-02 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-05318","2022-04-20 12:00:00","2022-05-16 12:00:00","2022-06-14 12:00:00","2022-05-31 12:00:00","Development - Right of Way Permit","Street Closure","Street Closure","Expired (Closed)",300001842,,"BRENTON ST","HALIFAX",,,"Commercial","We will need to close a street for four hours to use a crane to lift material to the roof of a building.",,,"Unidentified",
"DEV-ROW-2022-05509","2022-04-22 12:00:00","2022-05-10 12:00:00","2024-06-28 12:00:00","2024-06-28 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Mains","Expired (Closed)",,,,,,"Engineering - Discretionary","Not Associated to a Building","Sub division development in West Bedford. Connecting existing Brookline Dr to future Brookline Drive.",,"2022-05-13 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-05545","2022-05-03 12:00:00","2022-11-22 12:00:00",,"2025-09-30 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Mains","Issued",,,,,,"Traffic Management - ROW - Pre-Construction","Dwelling - Multiple Units","Building Permit Application for 82 unit apartment building. ROW permit for:
1. Sidewalk & curb as per Development Permit DEVONLY-2021-17559
2. Install footings and conduits for RA5 Crosswalk as per above Dev. Permit",,"2022-11-23 12:00:00","Unidentified","Waived"
"DEV-ROW-2022-05650","2022-04-26 12:00:00","2022-05-06 12:00:00","2022-06-14 12:00:00","2022-05-31 12:00:00","Development - Right of Way Permit","Street Closure","Street Closure","Expired (Closed)",300001954,,"COLLEGE ST","HALIFAX",,,"Mixed Use - Residential & Other Use(s)","We will require a street closure on College St from May 16th - 20th, inclusive. The closure is required to provide access for trenching underground electrical service across the street. Given the nature of this work, we will be unable to reopen the street after working hours.",,,"Unidentified",
"DEV-ROW-2022-05719","2022-05-26 12:00:00","2022-09-16 12:00:00",,"2025-12-31 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Mains","Issued",200000906,,"MAIN ST","DARTMOUTH",,,"Mixed Use - Residential & Other Use(s)","105 unit apartment building with underground parking garage",,,"Unidentified",
"DEV-ROW-2022-05784","2023-01-13 12:00:00","2023-02-03 12:00:00",,"2025-03-01 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Issued",300001570,,"HOLLIS ST","HALIFAX",,,"Mixed Use - Residential & Other Use(s)","Sidewalk Encroachment on Hollis St & Granville st only for rock anchors - shoring around the site",,,"Unidentified",
"DEV-ROW-2022-05788","2022-04-27 12:00:00","2022-06-03 12:00:00",,"2025-06-06 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Issued",130007,"81","KARELS DR","FALL RIVER","41064452","Engineering - ROWD - Reinstatement","Dwelling - Single Detached","To install driveway for new construction residential single unit dwelling","Y","2023-05-30 12:00:00","District 01","Passed"
"DEV-ROW-2022-05973","2022-04-30 12:00:00","2022-05-10 12:00:00","2022-05-10 12:00:00","2024-05-09 12:00:00","Development - Right of Way Permit","Temporary Work","Crane","Completed",300000649,,"ALMON ST","HALIFAX",,,"Mixed Use - Residential & Other Use(s)","Crane Permit",,,"Unidentified",
"DEV-ROW-2022-06023","2022-05-04 12:00:00","2022-05-06 12:00:00","2022-05-06 12:00:00","2022-05-20 12:00:00","Development - Right of Way Permit","Street Closure","Street Closure","Completed",300000620,,"BILBY ST","HALIFAX",,,"Commercial","RE: GP-2021-05927

A street closure is required to install the service laterals (electrical, sewer, sanitary, water) for 5530 Bilby St, as discussed with Michael Vye.",,,"Unidentified",
"DEV-ROW-2022-06092","2022-05-02 12:00:00",,"2022-09-20 12:00:00",,"Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Withdrawn",200002312,,"THORNE AVE","DARTMOUTH",,,"Commercial","connect new building laterals to street",,,"Unidentified",
"DEV-ROW-2022-06206","2022-05-04 12:00:00","2022-05-10 12:00:00",,"2025-05-26 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Issued",700010645,,"HIGNEY AVE","DARTMOUTH",,"Traffic Management - ROW - Warranty","Commercial","Connecting to HRM services for a new 75,000/sf commercial building",,"2024-04-02 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-06284","2022-08-16 12:00:00","2022-12-19 12:00:00",,"2025-04-30 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Issued",,,,,,"Engineering - ROWD - Pre-Construction","Dwelling - Multiple Units","NEW RESIDENTIAL CONSTRUCTION FOR 142 UNITS",,"2022-12-21 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-06317","2022-05-06 12:00:00",,"2022-06-15 12:00:00",,"Development - Right of Way Permit","Temporary Work","Encroachment Only","Withdrawn",300002648,,"HILDEN DR","HALIFAX",,,"Not Associated to a Building","Encroachment Permit - re-routing sidewalk 3 days",,,"Unidentified",
"DEV-ROW-2022-06337","2022-05-10 12:00:00","2022-05-25 12:00:00","2024-03-14 12:00:00","2024-05-24 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Cancelled",300001007,,"WEST ST","HALIFAX",,"Traffic Management - ROW - Pre-Construction","Dwelling - Multiple Units","Constructing a new Five storey, 14 Unit Residential Building at PID 00152074",,"2023-05-19 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-06379","2022-05-31 12:00:00",,"2022-11-25 12:00:00",,"Development - Right of Way Permit","Driveway Access","Driveway Access","Withdrawn",,,,,"00239988",,"Not Associated to a Building","ATTN: LISA SMITH 

Looking to construct laneway to access 30 Harvey street as shown in the plan for future development.

Was originally told to file for a DEVONLY permit to have the access reviewed by HRM staff. The feedback received from HRM staff (Lisa Smith) was to ask for a refund for DEVONLY-2022-04832 and apply for DEW-ROW. 

A more detailed plan will be prepared prior to any construction. This applications in mean to be a means of determined how to access the property. When HRM approves the access, a full site plan will be submitted to be reviewed.","Y",,"District 03",
"DEV-ROW-2022-06420","2022-05-09 12:00:00","2022-05-18 12:00:00","2022-05-20 12:00:00","2022-06-17 12:00:00","Development - Right of Way Permit","Street Closure","Street Closure","Expired (Closed)",300000833,,"ST ALBANS ST","HALIFAX",,,"Dwelling - Multiple Units","Dexter Construction is looking to close St. Albans St. to complete service tie-ins to the new multi unit development and remove tower crane.",,,"Unidentified",
"DEV-ROW-2022-06430","2025-01-21 12:00:00","2025-02-06 12:00:00",,"2026-02-06 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Issued",300003536,,"WINDSOR ST","HALIFAX",,,"Dwelling - Multiple Units","For Duct bank Agreement",,,"Unidentified",
"DEV-ROW-2022-06501","2022-05-12 12:00:00","2023-01-09 12:00:00",,"2026-01-09 12:00:00","Development - Right of Way Permit","Temporary Work","Crane","Issued",200000328,,"PELZANT ST","DARTMOUTH",,,"Mixed Use - Residential & Other Use(s)","crane installation for construction of mixed use building",,,"Unidentified",
"DEV-ROW-2022-06604","2022-05-11 12:00:00","2022-06-10 12:00:00","2022-06-13 12:00:00","2022-12-01 12:00:00","Development - Right of Way Permit","Street Closure","Street Closure","Completed",300000581,,"KAYE ST","HALIFAX",,,"Commercial","Street closure (up to 10 non-consecutive days) for Kaye Street at 5755 Young Street.  June 1 2022 to October 1 2022.",,,"Unidentified",
"DEV-ROW-2022-06698","2022-05-13 12:00:00","2022-06-03 12:00:00","2025-01-31 12:00:00","2025-12-17 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Completed",700008005,,"SACKVILLE DR","LOWER SACKVILLE",,"Traffic Management - ROW - Warranty","Commercial","bring the lateral services to the site and call for inspections of the pipes",,"2025-01-31 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-06785","2022-05-26 12:00:00","2022-07-14 12:00:00","2022-07-22 12:00:00","2023-07-11 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Completed",700000599,,"SHORE RD","DARTMOUTH",,"Engineering - ROWD - Encroachment Final","Dwelling - Single Detached","demolition of the mentioned building using an excavator",,"2022-07-22 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-06813","2022-05-17 12:00:00","2022-12-08 12:00:00","2023-09-19 12:00:00","2023-09-20 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Completed",700005103,,"YOUNG ST","HALIFAX",,"Engineering - ROWD - Encroachment Final","Mixed Use - Residential & Other Use(s)","Permanent Encroachment License for underground utility conduit.",,"2023-09-19 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-06936","2022-05-18 12:00:00","2022-10-07 12:00:00",,"2026-10-30 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Issued",174929,"195","OSBORNE ST","HALIFAX","41501099","Engineering - ROWD - Reinstatement","Dwelling - Multiple Units","Need a right of way permit to construct a driveway access to my proposed new build. Note I recently submitted a building permit that goes with this driveway (BPRES-2022-06017)","Y","2025-02-06 12:00:00","District 11","Failed"
"DEV-ROW-2022-06981","2022-05-18 12:00:00","2022-07-20 12:00:00","2024-05-30 12:00:00","2024-05-30 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Expired (Closed)",,,,,"00258228","Engineering - ROWD - Pre-Construction","Not Associated to a Building","Work associated with the drawing SK01 from Strum Engineering dated May 17 2022","N","2022-08-11 12:00:00","District 06","Passed"
"DEV-ROW-2022-07010","2022-05-18 12:00:00","2022-09-02 12:00:00",,"2027-02-05 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Mains","Issued",300002272,,"OSBORNE ST","HALIFAX",,"Traffic Management - ROW - Warranty","Dwelling - Multiple Units","Need all utilities set up to our new build including water, sewer and electric. Development permit was recently submitted (BPRES-2022-06017).",,"2025-02-06 12:00:00","Unidentified","Cancelled"
"DEV-ROW-2022-07087","2022-05-19 12:00:00",,"2022-05-20 12:00:00",,"Development - Right of Way Permit","Driveway Access","Driveway Access","Withdrawn",129691,"19","MILSOM ST","HALIFAX","41080136",,"Dwelling - Single Detached","Install new driveway entrance","Y",,"District 09",
"DEV-ROW-2022-07097","2022-05-19 12:00:00","2022-09-08 12:00:00",,"2026-08-09 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Issued",166494,"495","WILKINSON AVE","DARTMOUTH","41402967","Engineering - ROWD - Reinstatement","Commercial","Driveway Access permit for a new 130,400 sf multi-tenant warehouse building located on Wilkinson Ave.","Y","2024-07-09 12:00:00","District 06","Passed"
"DEV-ROW-2022-07158","2022-05-20 12:00:00","2023-01-11 12:00:00",,"2025-09-30 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Issued",35008,"360","BEAVER BANK RD","BEAVER BANK","40807406",,"Dwelling - Multiple Units","Application is for a multi unit apartment building for 82 units. We will use existing drive way. There will not be any street closure. There will not be any encroachment on the Right of way. We are required to install a side wall along Beaverbank road but will be able to do so without encroachment on ROW. All underground services are on the same side of Beaverbank Road as the site.","N",,"District 14",
"DEV-ROW-2022-07301","2022-05-25 12:00:00",,,,"Development - Right of Way Permit","Driveway Access","Driveway Access","Applicant Revisions",16699,"210","WILLETT ST","HALIFAX","40090086",,"Mixed Use - Residential & Other Use(s)","Driveway access for the new mixed use development at 210 Willett Street.

Note: Building Permit number is BPCOM-2021-17061","Y",,"District 10",
"DEV-ROW-2022-07356","2022-05-25 12:00:00",,"2022-05-28 12:00:00",,"Development - Right of Way Permit","Driveway Access","Driveway Access","Withdrawn",56076,"7","ANDERSON ST","DARTMOUTH","00215517",,"Dwelling - Single Detached","To create 2nd driveway access for Lot G14A-1","Y",,"District 06",
"DEV-ROW-2022-07403","2022-06-10 12:00:00","2022-06-13 12:00:00","2023-12-05 12:00:00","2023-12-31 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Completed",300001590,,"SALTER ST","HALIFAX",,"Engineering - ROWD - Encroachment Final","Commercial","Application for Permanent Encroachment
We can maintain a 1.5 Meter Clear Width on Sidewalk",,"2023-12-05 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-07465","2022-05-27 12:00:00","2022-06-07 12:00:00","2022-11-21 12:00:00","2022-06-30 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Expired (Closed)",300001739,,"SPRING GARDEN RD","HALIFAX",,,"Commercial","Work in right of way to upgrade current non structural day wall storefront to a barrier-free glass storefront.  BPCOM-2022-05861",,,"Unidentified",
"DEV-ROW-2022-07555","2022-05-30 12:00:00","2022-05-31 12:00:00","2022-06-13 12:00:00","2022-07-29 12:00:00","Development - Right of Way Permit","Street Closure","Street Closure","Completed",73570,"1645","BARRINGTON ST","HALIFAX","00003319",,"Commercial","Water main has to be shut off for work to be done in building. Will be about 20 minutes of works.","Y",,"District 07",
"DEV-ROW-2022-07639","2022-06-20 12:00:00","2022-11-21 12:00:00",,"2024-07-19 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Expired",134619,"153","GOVERNORS LAKE DR","TIMBERLEA","41154295","Engineering - ROWD - Pre-Construction","Dwelling - Single Detached","installing new driveway to replace existing (BPRES-2022-04356)","Y","2022-11-22 12:00:00","District 12","Passed"
"DEV-ROW-2022-07653","2022-05-31 12:00:00","2022-06-07 12:00:00",,"2026-10-30 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Issued",300002244,,"BEAUFORT AVE","HALIFAX",,"Traffic Management - ROW - Pre-Construction","Dwelling - Single Detached","Was informed that we need to apply for ROW permit in regards to utility work and underground buried laterals.",,"2022-06-08 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-07747","2022-06-01 12:00:00","2022-06-03 12:00:00",,"2026-10-11 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Issued",,,,,"40416471","Engineering - ROWD - Reinstatement","Dwelling - Semi-Detached","Semi detached residential new home construction , requesting two new driveway installed","N","2024-10-11 12:00:00","District 11","Passed"
"DEV-ROW-2022-07798","2022-06-02 12:00:00","2022-06-24 12:00:00",,"2025-06-23 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Issued",47853,"2","MONTEBELLO DR","DARTMOUTH","00249771","Engineering - ROWD - Pre-Construction","Mixed Use - Residential & Other Use(s)","Driveway Access for the construction of the multi-residential building 
Note building permit number is BPCOM-2022-01638","Y","2022-07-05 12:00:00","District 06","Passed"
"DEV-ROW-2022-07824","2022-06-02 12:00:00","2022-07-19 12:00:00","2025-01-28 12:00:00","2026-04-25 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Mains","Completed",300003338,,"ROCKINGSTONE RD","HALIFAX",,"Traffic Management - ROW - Warranty","Dwelling - Semi-Detached","Connecting water and sewer lines to the main lines in the street.",,"2025-01-28 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-07842","2022-06-02 12:00:00","2022-06-24 12:00:00","2023-10-10 12:00:00","2023-09-28 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Expired (Closed)",300001389,,"BARRINGTON ST","HALIFAX",,"Engineering - ROWD - Reinstatement","Commercial","To Install five (5) new replacement sign faces onto existing sign boxes",,"2023-09-28 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-07911","2022-06-08 12:00:00","2022-06-21 12:00:00",,"2025-09-12 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Issued",120542,"1626","COW BAY RD","COW BAY","40428559","Halifax Water - Discretionary","Accessory Structure","driveway to accessory structure","Y","2024-08-21 12:00:00","District 03","Passed"
"DEV-ROW-2022-08009","2022-06-06 12:00:00","2022-09-29 12:00:00","2024-08-21 12:00:00","2024-09-29 12:00:00","Development - Right of Way Permit","Temporary Work","Excavation Only","Completed",,,,,,,"Not Associated to a Building","Installation of underground utilities and flatworks on St Margaret's Bay Rd as per of the Lovett Lake subdivision project. (Subdivision agreement 23288)",,,"Unidentified",
"DEV-ROW-2022-08045","2022-08-19 12:00:00","2023-01-12 12:00:00",,"2025-06-12 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Issued",200000033,,"CANNON TERR","DARTMOUTH",,"Traffic Management - ROW - Reinstatement","Mixed Use - Residential & Other Use(s)","Servicing for Apartment Building with Underground Parking Garage",,"2024-11-20 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-08239","2022-06-09 12:00:00","2022-07-20 12:00:00","2023-12-12 12:00:00","2023-12-11 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Expired (Closed)",300001482,,"PRINCE ST","HALIFAX",,"Engineering - ROWD - Reinstatement","Commercial","Install of projecting sign - SIGN-2022-06817",,"2023-10-11 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-08321","2022-06-10 12:00:00","2022-09-28 12:00:00",,"2025-11-10 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Issued",161325,"14","SUNRISE HILL","BEDFORD","41377300","Engineering - ROWD - Reinstatement","Dwelling - Multiple Units","Driveway Access - construction of new residential dwelling with secondary suite (BPRES-2022-08310).","Y","2023-10-13 12:00:00","District 16","Passed"
"DEV-ROW-2022-08328","2022-06-10 12:00:00","2022-07-20 12:00:00","2023-06-08 12:00:00","2022-08-31 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Completed",300001509,,"ARGYLE ST","HALIFAX",,"Engineering - ROWD - Encroachment Final","Commercial","installation of a wooden wall sign SIGN-2022-08286",,"2023-06-08 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-08449","2022-06-13 12:00:00","2022-06-22 12:00:00","2023-06-08 12:00:00","2022-06-30 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Completed",200000569,,"OCHTERLONEY ST","DARTMOUTH",,"Engineering - ROWD - Encroachment Final","Commercial","I will be accessing the second floor exterior along Octerloney st for required maintenance. The entire front will be scaffolded 4 feet (Causing a 2 foot encroachment on sidewalk. Pedestrian traffic will have ample room to pass. Overhead safety coverings will be provided and all powerlines will be shrouded for the safety of my workers pedestrians and workers.",,"2023-06-08 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-08498","2022-06-14 12:00:00","2022-06-17 12:00:00",,"2025-06-18 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Issued",,,,,,"Traffic Management - ROW - Pre-Construction","Dwelling - Single Detached","Building a single home on the property and needs to be connected to the main",,"2023-06-16 12:00:00","Unidentified","Failed"
"DEV-ROW-2022-08676","2022-06-17 12:00:00","2022-06-20 12:00:00","2023-10-10 12:00:00","2023-06-30 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Expired (Closed)",200000556,,"OCHTERLONEY ST","DARTMOUTH",,,"Dwelling - Multiple Units","Temporary closure of sidewalk to safely remove building debris via dump trailor (not a road closure)",,,"Unidentified",
"DEV-ROW-2022-08764","2022-06-20 12:00:00","2022-06-30 12:00:00","2023-09-15 12:00:00","2023-06-29 12:00:00","Development - Right of Way Permit","Utility Work","Pole & Anchor","Expired (Closed)",200002703,,"KING ST","DARTMOUTH",,,"Commercial","We need to install a new 208V electrical service into 40 king Street Dartmouth.",,,"Unidentified",
"DEV-ROW-2022-08829","2022-06-28 12:00:00","2022-09-13 12:00:00","2024-10-23 12:00:00","2024-09-12 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Mains","Completed",,,,,,"Traffic Management - ROW - Warranty","Dwelling - Multiple Units","connecting new water and sewer to the main",,"2024-10-23 12:00:00","Unidentified","Waived"
"DEV-ROW-2022-08863","2022-06-23 12:00:00","2022-06-28 12:00:00","2023-12-12 12:00:00","2023-12-11 12:00:00","Development - Right of Way Permit","Temporary Work","Encroachment Only","Expired (Closed)",700005041,,"AGRICOLA ST","HALIFAX",,"Engineering - ROWD - Reinstatement","Dwelling - Multiple Units","We are replacing the siding of this building.
We will have some temporary ladders setup on the sidewalk during this replacement.
No road or sidewalk closures will be required as this is a quick siding replacement with the only piece of equipment on the sidewalk being a ladder.",,"2023-10-11 12:00:00","Unidentified","Passed"
"DEV-ROW-2022-08919","2022-06-23 12:00:00","2022-08-08 12:00:00",,"2024-09-15 12:00:00","Development - Right of Way Permit","Driveway Access","Driveway Access","Expired",15907,"3617","DEAL ST","HALIFAX","00181099","Engineering - ROWD - Pre-Construction","Dwelling - Multiple Units","New construction of a multi unit residential building (6 units).","Y","2022-08-30 12:00:00","District 10","Passed"
"DEV-ROW-2022-08925","2023-02-03 12:00:00","2023-02-07 12:00:00",,"2025-10-31 12:00:00","Development - Right of Way Permit","Utility Work","Underground / Buried Laterals","Issued",300003536,,"WINDSOR ST","HALIFAX",,,"Dwelling - Multiple Units","New construction of a multi unit residential building (84 Units).",,,"Unidentified",
"DEV-ROW-2022-08936","2022-06-27 12:00:00","2022-08-05 12:00:00","2022-08-05 12:00:00","2022-10-28 12:00:00","Development - Right of Way Permit","Street Closure","Street Closure","Completed",300001551,,"BLOWERS ST","HALIFAX",,,"Commercial","sidewalk closure permit to remove old face signage  and install new face signage.  See Sign permit application   SIGN-2022-04605.",,,"Unidentified",
